Season,Matches,Place,Team,Points,Goal difference,Goals for,Goals against
2017/18,34,1,Porto,88,64,82,18
2017/18,34,2,Benfica,81,58,80,22
2017/18,34,3,Sp Lisbon,78,39,63,24
2017/18,34,4,Sp Braga,75,45,74,29
2017/18,34,5,Rio Ave,51,-2,40,42
2018/19,34,1,Benfica,87,72,103,31
2018/19,34,2,Porto,85,54,74,20
2018/19,34,3,Sp Lisbon,74,39,72,33
2018/19,34,4,Sp Braga,67,19,56,37
2018/19,34,5,Guimaraes,52,12,46,34
2019/20,34,1,Porto,82,52,74,22
2019/20,34,2,Benfica,77,45,71,26
2019/20,34,3,Sp Braga,60,21,61,40
2019/20,34,4,Sp Lisbon,60,15,49,34
2019/20,34,5,Rio Ave,55,12,48,36
2020/21,34,1,Sp Lisbon,85,45,65,20
2020/21,34,2,Porto,80,45,74,29
2020/21,34,3,Benfica,76,42,69,27
2020/21,34,4,Sp Braga,64,20,53,33
2020/21,34,5,Pacos Ferreira,53,-1,40,41
2021/22,34,1,Porto,91,64,86,22
2021/22,34,2,Sp Lisbon,85,50,73,23
2021/22,34,3,Benfica,74,48,78,30
2021/22,34,4,Sp Braga,65,21,52,31
2021/22,34,5,Gil Vicente,51,5,47,42
2022/23,34,1,Benfica,87,62,82,20
2022/23,34,2,Porto,85,51,73,22
2022/23,34,3,Sp Braga,78,45,75,30
2022/23,34,4,Sp Lisbon,74,39,71,32
2022/23,34,5,Arouca,54,-1,36,37
2023/24,34,1,Sp Lisbon,90,67,96,29
2023/24,34,2,Benfica,80,49,77,28
2023/24,34,3,Porto,72,36,63,27
2023/24,34,4,Sp Braga,68,21,71,50
2023/24,34,5,Guimaraes,63,14,52,38
2024/25,34,1,Sp Lisbon,82,61,88,27
2024/25,34,2,Benfica,80,56,84,28
2024/25,34,3,Porto,71,35,65,30
2024/25,34,4,Sp Braga,66,25,55,30
2024/25,34,5,Santa Clara,57,4,36,32
