Season,Team,Matches,Place,Points,WinPct,HomeWinPct,Goal difference,Goals for,Goals against,Shots_on_target_for,Shots_on_target_against,Avg_goals_in_match,Avg_shots_on_target_in_match
2017/18,Benfica,34,2,81,74%,82%,58,80,22,237,84,3.0,9.441
2017/18,Sporting,34,3,78,71%,82%,39,63,24,176,107,2.559,8.324
2018/19,Benfica,34,1,87,82%,82%,72,103,31,227,118,3.941,10.147
2018/19,Sporting,34,3,74,68%,82%,39,72,33,199,122,3.088,9.441
2019/20,Benfica,34,2,77,71%,71%,45,71,26,189,106,2.853,8.676
2019/20,Sporting,34,4,60,53%,71%,15,49,34,144,118,2.441,7.706
2020/21,Benfica,34,3,76,68%,71%,42,69,27,174,116,2.824,8.529
2020/21,Sporting,34,1,85,76%,76%,45,65,20,163,77,2.5,7.059
2021/22,Benfica,34,3,74,68%,59%,48,78,30,200,112,3.176,9.176
2021/22,Sporting,34,2,85,79%,82%,50,73,23,209,83,2.824,8.588
2022/23,Benfica,34,1,87,82%,88%,62,82,20,208,78,3.0,8.412
2022/23,Sporting,34,4,74,68%,76%,39,71,32,198,96,3.029,8.647
2023/24,Benfica,34,2,80,74%,88%,49,77,28,232,112,3.088,10.118
2023/24,Sporting,34,1,90,85%,100%,67,96,29,215,79,3.676,8.647
2024/25,Benfica,34,2,80,74%,82%,56,84,28,228,111,3.294,9.971
2024/25,Sporting,34,1,82,74%,82%,61,88,27,226,74,3.382,8.824
